CVE,Confidence,Source_Count,Severity
CVE-2021-34523,unknown,2,Unknown
CVE-2023-51467,unknown,1,Unknown
CVE-2023-46805,unknown,5,Unknown
CVE-2021-31207,unknown,2,Unknown
CVE-2021-22893,unknown,1,Unknown
CVE-2024-21893,unknown,26,Unknown
CVE-2024-21894,unknown,1,Unknown
CVE-2021-26855,unknown,1,Unknown
CVE-2023-29357,unknown,6,Unknown
CVE-2024-22024,unknown,13,Unknown
CVE-2021-22205,unknown,3,Unknown
CVE-2023-1698,unknown,1,Unknown
CVE-2024-23897,unknown,3,Unknown
CVE-2022-1162,unknown,3,Unknown
CVE-2019-11580,unknown,3,Unknown
CVE-2023-0159,unknown,3,Unknown
CVE-2023-20073,unknown,1,Unknown
CVE-2021-26857,unknown,2,Unknown
CVE-2021-26858,unknown,1,Unknown
CVE-2023-7028,unknown,6,Unknown
CVE-2020-29583,unknown,1,Unknown
CVE-2021-34473,unknown,2,Unknown
CVE-2022-0735,unknown,3,Unknown
CVE-2024-21887,unknown,27,Unknown
CVE-2021-1472,unknown,1,Unknown
CVE-2019-12583,unknown,1,Unknown
CVE-2014-9222,unknown,1,Unknown
CVE-2022-0342,unknown,1,Unknown
CVE-2021-27065,unknown,1,Unknown
CVE-2023-22527,unknown,6,Unknown
CVE-2020-3452,unknown,1,Unknown
CVE-2021-3129,unknown,1,Unknown
CVE-2024-21888,unknown,2,Unknown
