Domain,TLD,Source_Count,Sources
lint.js,js,1,Malwares and Logs/access.log
gokhan.gulkanat,gulkanat,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103855_default_46.30.176.85_ad.exchange.mail_796067.txt
a.alwani,alwani,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
a.seluyman,seluyman,3,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511064255_default_77.240.91.154_ad.exchange.mail_768259.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511064327_default_77.240.91.155_ad.exchange.mail_118693.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511062605_default_77.240.91.151_ad.exchange.mail_704039.txt
remie.mrad,mrad,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020316_default_195.112.212.187_ad.exchange.mail_460335.txt
deers.co.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
ali.safar,safar,3,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510091126_default_212.98.140.116_ad.exchange.mail_817178.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510085918_default_212.98.140.119_ad.exchange.mail_252554.txt|Malwares and Logs/All_Proxy_Shell_Targets/LB/20220511020241_default_212.98.140.116_ad.exchange.mail_160312.txt
sy.kang,kang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
fatma.demirel,demirel,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509090817_default_212.175.168.58_ad.exchange.mail_153067.txt
shinbo.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
ahed.farraj,farraj,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
iranigroup.co.il,il,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509093808_default_192.116.238.153_ad.exchange.mail_786317.txt
bis.admin,admin,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060305_default_168.154.245.55_ad.exchange.mail_617294.txt
a.alfreje,alfreje,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
dropdown.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
hifilm2016.lab,lab,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528082744_default_211.45.117.181_ad.exchange.mail_978106.txt
eunho.jo,jo,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
cloud.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
dr.ahmed,ahmed,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
korpa.or.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
kc.kim,kim,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528053436_default_121.134.12.29_ad.exchange.mail_573404.txt
noroo.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
conferences-center.online,online,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Image_Documents/227a0cd0ce8cfdc0a190235aece93f4a8a41d283_1 2jpg_analysis.md
a.alnaheti,alnaheti,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511073003_default_77.240.93.43_ad.exchange.mail_665198.txt
yagizsut.com,com,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509103315_default_95.0.22.150_ad.exchange.mail_545296.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510020055_default_95.0.22.150_ad.exchange.mail_062149.txt
sanghyun.lee,lee,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528035936_default_1.235.185.175_ad.exchange.mail_644119.txt
baris.basgul,basgul,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509101256_default_92.45.15.114_ad.exchange.mail_954868.txt
inha.ac.kr,kr,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528060718_default_183.111.79.206_ad.exchange.mail_468563.txt
dr.adel,adel,2,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511153641_default_77.232.98.21_ad.exchange.mail_181003.txt|Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511154452_default_77.232.98.21_ad.exchange.mail_092681.txt
bahriye.koymatli,koymatli,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
inicio.jhtml,jhtml,1,Malwares and Logs/access.log
weili.zhang,zhang,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
a.hakim,hakim,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053201_default_212.12.178.178_ad.exchange.mail_084629.txt
ali.say,say,2,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510025101_default_91.93.60.19_ad.exchange.mail_714410.txt|Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510023853_default_91.93.60.19_ad.exchange.mail_346834.txt
