IOC_Type,IOC_Value,Confidence,Source_Count,First_Seen
IPS,8.219.230.175,low,1,2025-10-01T13:29:27.507408
IPS,199.45.154.132,low,1,2025-10-01T13:29:27.507416
IPS,87.236.176.45,low,1,2025-10-01T13:29:27.507418
IPS,162.158.170.67,low,1,2025-10-01T13:29:27.507420
IPS,165.22.214.21,low,1,2025-10-01T13:29:27.507422
IPS,47.84.198.42,low,1,2025-10-01T13:29:27.507424
IPS,185.213.180.128,low,1,2025-10-01T13:29:27.507425
IPS,138.68.71.98,low,1,2025-10-01T13:29:27.507427
IPS,198.235.24.205,low,1,2025-10-01T13:29:27.507429
IPS,162.158.183.241,low,1,2025-10-01T13:29:27.507431
IPS,92.255.85.164,low,1,2025-10-01T13:29:27.507433
IPS,80.89.191.8,low,1,2025-10-01T13:29:27.507435
IPS,125.131.109.225,medium,2,2025-10-01T13:29:27.507436
IPS,206.168.34.114,low,1,2025-10-01T13:29:27.507438
IPS,87.236.176.151,low,1,2025-10-01T13:29:27.507440
IPS,121.176.16.144,medium,2,2025-10-01T13:29:27.507442
IPS,162.216.149.220,low,1,2025-10-01T13:29:27.507444
IPS,185.147.124.104,low,1,2025-10-01T13:29:27.507445
IPS,176.53.223.49,low,1,2025-10-01T13:29:27.507447
IPS,54.198.158.153,low,1,2025-10-01T13:29:27.507449
IPS,87.236.176.50,low,1,2025-10-01T13:29:27.507451
IPS,43.159.139.164,low,1,2025-10-01T13:29:27.507452
IPS,170.64.133.24,low,1,2025-10-01T13:29:27.507454
IPS,146.70.205.118,low,1,2025-10-01T13:29:27.507455
IPS,47.236.196.202,low,1,2025-10-01T13:29:27.507457
IPS,59.20.49.21,medium,2,2025-10-01T13:29:27.507459
IPS,176.53.218.28,low,1,2025-10-01T13:29:27.507461
IPS,59.10.58.16,medium,2,2025-10-01T13:29:27.507462
IPS,162.158.48.139,low,1,2025-10-01T13:29:27.507468
IPS,89.104.111.18,low,1,2025-10-01T13:29:27.507470
IPS,141.101.97.23,low,1,2025-10-01T13:29:27.507471
IPS,210.107.84.5,medium,2,2025-10-01T13:29:27.507473
IPS,87.236.176.120,low,1,2025-10-01T13:29:27.507475
IPS,205.210.31.33,low,1,2025-10-01T13:29:27.507476
IPS,165.227.163.36,low,1,2025-10-01T13:29:27.507478
IPS,34.217.132.139,low,1,2025-10-01T13:29:27.507480
IPS,87.236.176.235,low,1,2025-10-01T13:29:27.507481
IPS,18.171.204.192,low,1,2025-10-01T13:29:27.507483
IPS,118.193.43.141,low,1,2025-10-01T13:29:27.507484
IPS,147.185.132.117,low,1,2025-10-01T13:29:27.507486
IPS,162.142.125.43,low,1,2025-10-01T13:29:27.507488
IPS,95.214.53.211,low,1,2025-10-01T13:29:27.507490
IPS,211.232.110.85,medium,2,2025-10-01T13:29:27.507491
IPS,162.142.125.114,low,1,2025-10-01T13:29:27.507493
IPS,89.144.135.118,low,1,2025-10-01T13:29:27.507495
IPS,183.134.59.130,low,1,2025-10-01T13:29:27.507497
IPS,206.168.34.122,low,1,2025-10-01T13:29:27.507498
IPS,87.236.176.146,low,1,2025-10-01T13:29:27.507500
IPS,45.86.202.89,low,1,2025-10-01T13:29:27.507501
