IP,Country,City,Organization,ISP,ASN,Ports,Vulnerabilities,OS,Source_Count,Sources
8.219.230.175,Singapore,Singapore,Alibaba Cloud (Singapore) Private Limited,"Alibaba (US) Technology Co., Ltd.",AS45102,8081,,,1,Malwares and Logs/access.log
199.45.154.132,,,,,,,,,1,Malwares and Logs/access.log
87.236.176.45,United Kingdom,Leeds,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53",,,1,Malwares and Logs/access.log
162.158.170.67,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
165.22.214.21,India,Doddaballapura,"DigitalOcean, LLC","DigitalOcean, LLC",AS14061,"27017,22","CVE-2023-51385,CVE-2016-20012,CVE-2021-36368,CVE-2025-26465,CVE-2025-32728,CVE-2020-14145,CVE-2023-51767,CVE-2020-15778,CVE-2023-48795,CVE-2023-38408,CVE-2007-2768,CVE-2008-3844,CVE-2019-16905,CVE-2021-41617",,1,Malwares and Logs/access.log
47.84.198.42,,,,,,,,,1,Malwares and Logs/access.log
185.213.180.128,,,,,,,,,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
138.68.71.98,,,,,,,,,1,Malwares and Logs/access.log
198.235.24.205,Belgium,Antwerpen,"Palo Alto Networks, Inc",Google LLC,AS396982,123,,,1,Malwares and Logs/access.log
162.158.183.241,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
92.255.85.164,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
80.89.191.8,,,,,,,,,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
125.131.109.225,"Korea, Republic of",Seoul,Korea Telecom,Korea Telecom,AS4766,"587,995",,Windows (build 6.3.9600),2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
206.168.34.114,,,,,,,,,1,Malwares and Logs/access.log
87.236.176.151,United Kingdom,Manchester,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53",,,1,Malwares and Logs/access.log
121.176.16.144,"Korea, Republic of",Kimhae,Korea Telecom,Korea Telecom,AS4766,"995,587,143,80,465,53,25,443,2525",,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
162.216.149.220,,,,,,,,,1,Malwares and Logs/access.log
185.147.124.104,Russian Federation,Saint Petersburg,Tilda LLC,JSC Selectel,AS49505,"20001,30000,30001,30002,30003,30005",,,1,Malwares and Logs/access.log
176.53.223.49,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
54.198.158.153,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.50,United Kingdom,Leeds,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53,5061",,,1,Malwares and Logs/access.log
43.159.139.164,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
170.64.133.24,,,,,,,,,1,Malwares and Logs/access.log
146.70.205.118,Japan,Togoshi,M247 LTD Tokyo Infrastructure,M247 Europe SRL,AS9009,"4000,7443,1443,8443",,,1,Malwares and Logs/ameen-alkhalij.com.log
47.236.196.202,Singapore,Singapore,Alibaba Cloud LLC,"Alibaba (US) Technology Co., Ltd.",AS45102,443,,,1,Malwares and Logs/access.log
59.20.49.21,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
176.53.218.28,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
59.10.58.16,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
162.158.48.139,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
89.104.111.18,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
141.101.97.23,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
210.107.84.5,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
87.236.176.120,United Kingdom,Leeds,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53",,,1,Malwares and Logs/access.log
205.210.31.33,United States,Council Bluffs,"Palo Alto Networks, Inc",Google LLC,AS396982,123,,,1,Malwares and Logs/access.log
165.227.163.36,Germany,Frankfurt am Main,"DigitalOcean, LLC","DigitalOcean, LLC",AS14061,"5090,443",,,1,Malwares and Logs/ameen-alkhalij.com.log
34.217.132.139,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.235,United Kingdom,Manchester,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53,5061",,,1,Malwares and Logs/access.log
18.171.204.192,United Kingdom,London,Amazon Data Services UK,"Amazon.com, Inc.",AS16509,"19776,4072,8649,6666,16077,16046,6513,2003,18037,9051,1023","CVE-2020-27216,CVE-2017-7657,CVE-2017-7656,CVE-2017-7658,CVE-2023-36479,CVE-2023-36478,CVE-2019-10241,CVE-2021-34428,CVE-2012-6708,CVE-2024-13009,CVE-2009-3720,CVE-2023-40167,CVE-2022-2047,CVE-2020-29396,CVE-2020-7656,CVE-2015-9251,CVE-2024-8184,CVE-2020-11023,CVE-2018-12536,CVE-2021-28169,CVE-2021-28165,CVE-2020-27218,CVE-2023-26049,CVE-2023-26048,CVE-2021-32052,CVE-2023-44487,CVE-2024-6763,CVE-2020-11022,CVE-2024-9823,CVE-2019-11358,CVE-2019-10247,CVE-2024-22201,CVE-2009-2940,CVE-2018-12545,CVE-2022-2048,CVE-2020-27223",,1,Malwares and Logs/access.log
118.193.43.141,,,,,,,,,1,Malwares and Logs/access.log
147.185.132.117,United States,Moncks Corner,"Palo Alto Networks, Inc",Google LLC,AS396982,123,,,1,Malwares and Logs/access.log
162.142.125.43,,,,,,,,,1,Malwares and Logs/access.log
95.214.53.211,Poland,Warsaw,MEVSPACE sp. z o.o.,MEVSPACE sp. z o.o.,AS201814,22,"CVE-2016-20012,CVE-2021-36368,CVE-2025-26465,CVE-2025-32728,CVE-2023-51767,CVE-2023-48795,CVE-2023-38408,CVE-2007-2768,CVE-2008-3844,CVE-2023-51385,CVE-2024-6387,CVE-2021-41617",,1,Malwares and Logs/access.log
211.232.110.85,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
162.142.125.114,,,,,,,,,1,Malwares and Logs/access.log
89.144.135.118,"Iran, Islamic Republic of",Shiraz,ANDISHE SABZ KHAZAR CO. P.J.S.,ANDISHE SABZ KHAZAR CO. P.J.S.,AS39308,161,,RB951Ui-2HnD,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
183.134.59.130,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
206.168.34.122,,,,,,,,,1,Malwares and Logs/access.log
87.236.176.146,United Kingdom,Manchester,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53,5061",,,1,Malwares and Logs/access.log
45.86.202.89,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
170.64.230.71,Australia,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC",AS14061,22,,Linux,1,Malwares and Logs/access.log
123.58.213.117,,,,,,,,,1,Malwares and Logs/access.log
44.202.119.193,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
203.240.129.93,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
154.212.141.210,,,,,,,,,1,Malwares and Logs/access.log
176.53.218.32,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
176.53.223.245,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.216,United Kingdom,Manchester,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53",,,1,Malwares and Logs/access.log
137.184.174.129,Canada,Toronto,"DigitalOcean, LLC","DigitalOcean, LLC",AS14061,22,,Linux,1,Malwares and Logs/access.log
191.102.149.124,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
123.215.185.126,"Korea, Republic of",Yesan,SK Broadband Co Ltd,SK Broadband Co Ltd,AS9318,443,,Windows,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
211.245.184.27,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
17.241.219.205,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
